Id,Date,Price,Cohort
10000106118,2006-05-14,30,17
10000114600,2006-05-31,81.85,17
10000114600,2007-05-03,23.4,17
10000354847,2006-05-02,84.5,17
10000354847,2006-08-03,64.31,17
10000354847,2007-09-27,18,17
10000354847,2007-10-18,108,17
10000354847,2007-10-25,90,17
10000354847,2008-08-29,50,17
10000354847,2008-12-10,106.65,17
10000354847,2012-09-06,40.35,17
10000563912,2006-05-26,10,17
10000563912,2006-08-07,19.24,17
10000563912,2008-08-19,23.81,17
10000563912,2009-08-17,11.55,17
10000618187,2006-05-22,30,17
10000757011,2006-05-23,46,17
10000757011,2007-07-02,50,17
10000757011,2007-10-02,27.5,17
10000757011,2008-02-18,27.5,17
10000795975,2006-05-09,12.5,17
10001516565,2006-05-22,39.05,17
10001516565,2007-03-20,30.58,17
10001516565,2010-07-26,39.25,17
10002780068,2006-05-24,12.87,17
10002914658,2006-05-13,137.86,17
10002914658,2006-09-30,188.2,17
10002914658,2007-12-09,30.88,17
10003710025,2006-05-22,36,17
10005826621,2006-05-08,37.5,17
10005909145,2006-05-23,28,17
10006376467,2006-05-27,35,17
10006766016,2006-05-22,112.5,17
10006766016,2006-11-10,185.73,17
10006766016,2008-07-01,27.5,17
10006766016,2008-11-23,36,17
10006766016,2011-11-21,20.75,17
10007962374,2006-05-27,13,17
10008114138,2006-05-07,189.47,17
10008114138,2009-01-30,11.25,17
10008114138,2011-09-30,43,17
10008114138,2012-02-03,16.5,17
10008413508,2009-08-12,89.5,17
10008413508,2006-05-07,28.5,17
10008413508,2007-04-05,20.75,17
10008413508,2007-12-07,51.28,17
10008413508,2011-08-03,132.6,17
10008415380,2008-04-19,13.75,17
10008415380,2008-11-23,11.47,17
10008415380,2009-03-17,31.83,17
10008415380,2009-08-23,18.5,17
10008415380,2006-05-24,10.5,17
10008415380,2010-01-20,46.51,17
10008415380,2010-01-30,24,17
10008415380,2011-03-11,42.66,17
10008415380,2011-05-25,9.85,17
10008415380,2011-06-03,77,17
10008609915,2006-05-20,29.5,17
10009089612,2006-05-11,148,17
10009133610,2006-05-25,12,17
10009900132,2006-05-22,12.5,17
10009910553,2006-05-23,65,17
10009910553,2007-09-15,385,17
10010064159,2006-05-03,34.38,17
10010064159,2007-06-01,138.95,17
10010064159,2008-04-24,306.85,17
10010064159,2010-10-11,196.7,17
10010064159,2011-12-23,415.9,17
10010150997,2006-05-18,103,17
10010809107,2006-05-13,34.38,17
10011657299,2006-05-17,52.3,17
10011756109,2006-12-04,33.73,17
10011756109,2006-05-31,25,17
10011756109,2006-11-13,13.99,17
10013103393,2006-05-07,10,17
10013293059,2006-05-24,12.35,17
10013293059,2006-05-31,120,17
10013293059,2010-12-02,160.9,17
10014624404,2006-05-04,27.5,17
10015842542,2006-05-08,49.26,17
10015842542,2009-02-06,44.98,17
10016325571,2006-05-30,9.87,17
10018706966,2006-05-13,40.07,17
10019703732,2006-05-23,24.5,17
10021187881,2006-05-03,63.76,17
10021187881,2006-11-09,64.21,17
10021187881,2010-02-07,28,17
10021490598,2006-05-27,30,17
10021490598,2007-06-13,22.5,17
10022036978,2006-05-11,76,17
10022816720,2008-02-21,50,17
10022816720,2006-05-11,90.5,17
10022816720,2007-06-19,45,17
10022816720,2008-08-13,30,17
10022816720,2009-08-09,15.98,17
10022816720,2011-06-07,84.82,17
10022816720,2011-08-05,14.95,17
10023214937,2006-05-25,9.05,17
