Id,Date,Price,Cohort
10040744514,2011-03-29,140,21
10040744514,2011-08-27,100,21
10041415610,2006-09-26,7.5,21
10043107462,2006-09-18,70,21
10043107462,2008-05-25,27,21
10044865522,2006-09-25,96,21
10044865522,2006-10-20,48,21
10044865522,2006-11-04,48,21
10044865522,2006-11-12,48,21
10044865522,2007-09-01,193.68,21
10044865522,2007-11-24,48,21
10044865522,2008-11-09,280,21
10044865522,2009-10-08,117,21
10044973143,2006-09-23,62.3,21
10045412975,2006-09-29,116.7,21
10045597872,2006-09-17,18.35,21
10045597872,2011-12-04,25.68,21
10046016197,2006-09-02,47.69,21
10046123300,2006-09-10,124.89,21
10046123300,2007-07-01,99.8,21
10046123300,2007-08-04,51,21
10046159494,2006-09-24,17.83,21
10046619784,2006-09-08,16,21
10047289520,2008-02-18,60.5,21
10047289520,2006-09-18,250,21
10047395877,2006-09-30,89.5,21
10047395877,2012-09-06,32,21
10047622383,2009-01-27,88.85,21
10047622383,2006-09-25,123.04,21
10047622383,2007-07-12,10.83,21
10047622383,2007-10-17,64.91,21
10047622383,2010-06-22,401.5,21
10047779850,2006-09-30,25.71,21
10047779850,2006-12-10,39.6,21
10047779850,2010-01-31,14.66,21
10047779850,2012-08-15,9.5,21
10048660679,2006-09-05,48.23,21
10048660679,2006-10-27,14.25,21
10048660679,2008-07-22,55,21
10049698735,2006-09-26,45.95,21
10049886622,2006-09-05,30,21
10050059450,2006-09-11,59.9,21
10050059450,2007-07-06,52.96,21
10050404041,2006-09-21,9,21
10050571047,2006-09-14,189,21
10050571047,2007-11-19,49.9,21
10050571047,2008-04-04,75,21
10050571047,2009-10-01,43.7,21
10050571047,2010-11-05,22.17,21
10050571047,2010-11-08,38.34,21
10050571047,2012-06-12,19.5,21
10051010120,2006-09-07,41.33,21
10051010120,2008-08-16,76,21
10051010120,2009-03-15,29.87,21
10051246078,2006-09-25,20,21
10051322525,2006-09-06,60,21
10051407217,2006-09-18,112.69,21
10051489636,2006-09-08,27,21
10051489636,2008-12-03,24.7,21
10051489636,2009-11-06,35.25,21
10051489636,2011-12-03,7.25,21
10051749130,2006-09-17,81.97,21
10052199151,2006-09-18,86.44,21
10052199151,2009-03-23,77.55,21
10052199151,2010-12-06,61.25,21
10052327439,2006-09-27,77.6,21
10052769367,2006-09-10,60,21
10052769367,2008-10-09,21.32,21
10052769367,2009-12-09,12.33,21
10052816027,2008-12-18,13,21
10052816027,2006-09-22,20.75,21
10052816027,2007-09-18,47.75,21
10052816027,2009-10-14,55,21
10052946652,2006-09-13,22.63,21
10052951173,2006-09-12,69.8,21
10053261867,2006-09-24,27.5,21
