Id,Date,Price,Cohort.new
100927,2008-01-05,20.2982826234,1
100927,2008-02-12,18.8155364991,1
100927,2008-03-24,18.8411026002,1
100927,2008-06-14,49.4674720764,1
100927,2008-07-13,49.4674720764,1
100927,2009-05-16,20.349411011,1
100927,2009-08-08,42.7439880374,1
100927,2010-04-18,13.7281837464,1
121126,2008-01-13,36.5573539732,1
121126,2008-03-29,21.3464279173,1
121126,2008-06-09,72.7568092345,1
121126,2008-09-28,70.0980987558,1
121126,2008-10-14,23.4171600345,1
121126,2009-01-31,21.9344177242,1
121126,2009-03-21,34.1798553458,1
121126,2009-08-03,51.3848190295,1
121126,2010-03-22,38.1167984006,1
121126,2010-05-04,61.176048279,1
121126,2010-06-13,19.3268280025,1
121126,2011-07-17,35.6881675708,1
121126,2012-01-10,20.9527359005,1
121126,2012-06-16,26.4499969482,1
121126,2012-08-21,14.949996948,1
121126,2012-09-15,19.8499908447,1
121126,2013-04-28,55.4499816892,1
121126,2013-06-11,23.8899917604,1
121126,2013-07-29,24.8499927518,1
121126,2014-02-15,15.4499969482,1
121126,2014-03-29,44.6899795526,1
121126,2014-06-03,30.8899917598,1
121126,2014-08-12,47.7899894707,1
121126,2014-09-21,43.6499805444,1
123340,2008-01-09,15.236495972,1
123340,2008-03-31,31.6489562993,1
123340,2008-11-29,54.9638633726,1
123340,2008-12-20,11.9897918701,1
123340,2009-07-04,20.349411011,1
123340,2009-07-18,43.2808418274,1
123340,2009-08-11,7.1580848694,1
123340,2009-08-15,22.8036155704,1
123340,2010-07-31,5.0873527527,1
123340,2011-06-18,30.2940368646,1
123340,2011-07-12,20.4005393987,1
123340,2012-03-21,14.949996948,1
123340,2013-03-16,44.801010131,1
123340,2013-12-11,35.6999816892,1
123340,2014-05-18,45.8488845824,1
123340,2014-09-17,15.8999938964,1
123340,2014-10-20,27.8499908446,1
123340,2014-11-12,19.949996948,1
130923,2008-01-15,43.8688201903,1
130923,2008-04-13,49.058441163,1
130923,2008-09-13,44.1756057745,1
130923,2010-10-30,43.357536316,1
130923,2011-01-16,33.0038795474,1
130923,2011-06-12,39.1393737797,1
130923,2013-09-08,36.7999877924,1
145920,2008-01-20,47.447860718,1
145920,2008-05-04,17.8440818782,1
145920,2008-09-05,43.3064079292,1
145920,2011-03-13,27.558624267,1
145920,2013-06-16,19,1
153672,2008-01-20,25.46232605,1
162574,2008-01-06,19.352394104,1
162574,2008-07-09,17.8440818782,1
162574,2008-10-04,7.5671195984,1
162574,2008-12-21,5.0106582642,1
162574,2009-01-25,12.680038452,1
162574,2009-08-03,7.6438102722,1
162574,2010-02-20,5.1129188538,1
162574,2010-02-24,50.1065979,1
162574,2010-09-29,7.5671195984,1
162574,2011-09-18,7.6438102722,1
162574,2012-05-27,24.799987793,1
162574,2012-11-26,19.9499969482,1
162574,2013-07-14,4.9499969482,1
162574,2014-02-15,6.9499969482,1
162574,2014-09-23,2.9499988556,1
167150,2008-01-27,35.1257438663,1
167150,2008-09-06,20.247146606,1
167150,2009-11-10,10.123573303,1
167150,2010-05-17,44.3034210205,1
167150,2010-07-28,10.200271606,1
167150,2011-02-01,10.200271606,1
167150,2011-07-10,24.4141769403,1
167150,2011-10-02,30.6008110047,1
167150,2012-12-04,14.9499969482,1
167150,2013-01-01,23.8499927518,1
167150,2013-03-27,9.7999954224,1
167150,2013-05-26,20.8999958036,1
167150,2013-07-27,19.489997864,1
167150,2013-11-27,33.7999897,1
167150,2014-02-02,12.949996948,1
167150,2014-03-12,14.949996948,1
167150,2014-07-08,11.8999958038,1
172650,2008-01-13,12.756729126,1
172650,2008-08-30,48.3426284785,1
172650,2009-01-27,30.9587059021,1
184870,2008-01-16,19.4035186763,1
184870,2008-02-10,20.426101685,1
184870,2008-03-03,20.247146606,1
184870,2008-03-16,17.3327789306,1
184870,2008-04-27,7.6438102722,1
184870,2008-05-11,11.657447815,1
184870,2008-07-20,30.600814818,1
184870,2008-12-09,10.123573303,1
184870,2008-12-28,20.3238487244,1
184870,2009-06-22,10.200271606,1
184870,2009-08-02,10.200271606,1
184870,2010-10-10,8.6663894653,1
184870,2010-12-04,15.313186646,1
184870,2011-05-23,10.200271606,1
184870,2011-08-17,15.313186646,1
184870,2011-12-05,10.200271606,1
184870,2011-12-14,12.680038452,1
184870,2012-07-22,9.8999938965,1
184870,2013-02-17,4.9499969482,1
184870,2013-06-11,13.8999958038,1
184870,2013-09-21,9.9499969482,1
